price,room_type,number_of_reviews,reviews_per_month,city
33.0,Private room,1,0.79,Barcelona
99.0,Private room,1,0.05,Barcelona
83.0,Entire home/apt,79,1.64,Barcelona
20.0,Private room,1,0.81,Barcelona
40.0,Private room,14,1.54,Barcelona
50.0,Private room,0,,Barcelona
200.0,Entire home/apt,0,,Barcelona
30.0,Private room,34,4.18,Barcelona
90.0,Private room,0,,Barcelona
150.0,Entire home/apt,56,0.95,Barcelona
270.0,Entire home/apt,1,0.05,Barcelona
139.0,Entire home/apt,8,0.4,Barcelona
69.0,Shared room,0,,Barcelona
190.0,Entire home/apt,2,1.71,Barcelona
55.0,Private room,0,,Barcelona
100.0,Private room,0,,Barcelona
24.0,Private room,0,,Barcelona
220.0,Entire home/apt,13,0.42,Barcelona
165.0,Entire home/apt,0,,Barcelona
169.0,Entire home/apt,90,1.97,Barcelona
94.0,Entire home/apt,4,0.75,Barcelona
660.0,Entire home/apt,9,0.18,Barcelona
450.0,Entire home/apt,2,0.25,Barcelona
35.0,Private room,9,3.86,Barcelona
247.0,Entire home/apt,54,3.2,Barcelona
89.0,Entire home/apt,97,2.3,Barcelona
80.0,Entire home/apt,10,1.1,Barcelona
50.0,Private room,51,3.09,Barcelona
38.0,Private room,0,,Barcelona
350.0,Entire home/apt,1,0.88,Barcelona
16.0,Shared room,80,2.44,Barcelona
30.0,Private room,12,1.68,Barcelona
31.0,Private room,8,0.38,Barcelona
72.0,Entire home/apt,43,1.5,Barcelona
181.0,Entire home/apt,32,0.87,Barcelona
140.0,Entire home/apt,6,0.66,Barcelona
145.0,Entire home/apt,2,2.0,Barcelona
30.0,Private room,0,,Barcelona
210.0,Entire home/apt,13,0.49,Barcelona
125.0,Entire home/apt,10,0.31,Barcelona
50.0,Private room,0,,Barcelona
150.0,Private room,0,,Barcelona
42.0,Private room,3,0.81,Barcelona
60.0,Entire home/apt,7,0.51,Barcelona
90.0,Entire home/apt,39,0.98,Barcelona
89.0,Entire home/apt,0,,Barcelona
69.0,Private room,49,4.39,Barcelona
69.0,Private room,7,0.19,Barcelona
98.0,Entire home/apt,3,0.29,Barcelona
140.0,Entire home/apt,8,1.23,Barcelona
100.0,Entire home/apt,0,,Barcelona
415.0,Entire home/apt,14,0.34,Barcelona
129.0,Entire home/apt,1,0.1,Barcelona
100.0,Entire home/apt,4,0.5,Barcelona
60.0,Private room,2,0.1,Barcelona
90.0,Entire home/apt,2,1.03,Barcelona
48.0,Private room,2,0.06,Barcelona
490.0,Entire home/apt,12,0.94,Barcelona
200.0,Entire home/apt,31,0.87,Barcelona
650.0,Entire home/apt,153,4.4,Barcelona
90.0,Entire home/apt,3,0.25,Barcelona
17.0,Private room,24,2.98,Barcelona
50.0,Private room,1,0.1,Barcelona
750.0,Entire home/apt,0,,Barcelona
84.0,Entire home/apt,0,,Barcelona
90.0,Entire home/apt,0,,Barcelona
225.0,Entire home/apt,29,1.46,Barcelona
175.0,Private room,1,0.1,Barcelona
195.0,Entire home/apt,38,1.0,Barcelona
60.0,Private room,0,,Barcelona
295.0,Entire home/apt,2,0.2,Barcelona
40.0,Entire home/apt,7,0.94,Barcelona
68.0,Entire home/apt,83,4.18,Barcelona
67.0,Entire home/apt,14,0.61,Barcelona
99.0,Entire home/apt,151,5.14,Barcelona
50.0,Entire home/apt,0,,Barcelona
150.0,Entire home/apt,1,0.04,Barcelona
105.0,Entire home/apt,27,1.31,Barcelona
45.0,Private room,54,1.73,Barcelona
62.0,Private room,5,0.63,Barcelona
220.0,Entire home/apt,1,0.11,Barcelona
60.0,Entire home/apt,12,0.93,Barcelona
60.0,Private room,0,,Barcelona
45.0,Private room,12,0.36,Barcelona
190.0,Private room,1,0.23,Barcelona
45.0,Private room,23,7.19,Barcelona
45.0,Private room,0,,Barcelona
30.0,Private room,7,0.72,Barcelona
199.0,Private room,0,,Barcelona
80.0,Private room,0,,Barcelona
60.0,Private room,9,0.94,Barcelona
54.0,Entire home/apt,1,0.18,Barcelona
