price,room_type,number_of_reviews,reviews_per_month,city
114,Private room,0,,Melbourne
71,Private room,0,,Melbourne
30,Private room,42,0.7,Melbourne
168,Entire home/apt,26,0.35,Melbourne
221,Entire home/apt,16,0.24,Melbourne
80,Private room,128,1.78,Melbourne
93,Entire home/apt,9,0.14,Melbourne
62,Entire home/apt,6,0.08,Melbourne
180,Private room,6,0.08,Melbourne
71,Private room,7,0.51,Melbourne
72,Private room,24,0.34,Melbourne
1650,Private room,0,,Melbourne
138,Entire home/apt,59,0.83,Melbourne
40,Private room,24,0.32,Melbourne
109,Entire home/apt,46,1.25,Melbourne
125,Private room,24,0.31,Melbourne
245,Entire home/apt,59,0.79,Melbourne
190,Entire home/apt,105,1.37,Melbourne
174,Entire home/apt,3,0.07,Melbourne
54,Private room,17,0.25,Melbourne
75,Private room,12,0.16,Melbourne
40,Private room,12,0.16,Melbourne
84,Private room,50,0.67,Melbourne
80,Private room,14,0.23,Melbourne
65,Private room,125,1.75,Melbourne
161,Entire home/apt,50,0.65,Melbourne
168,Entire home/apt,6,0.1,Melbourne
50,Private room,31,0.43,Melbourne
80,Entire home/apt,41,1.95,Melbourne
120,Private room,31,0.41,Melbourne
84,Private room,51,0.66,Melbourne
105,Entire home/apt,1,0.02,Melbourne
230,Entire home/apt,20,0.26,Melbourne
65,Private room,92,1.22,Melbourne
174,Entire home/apt,21,0.27,Melbourne
73,Entire home/apt,17,0.22,Melbourne
80,Private room,19,0.26,Melbourne
161,Entire home/apt,88,1.18,Melbourne
89,Entire home/apt,255,3.47,Melbourne
96,Entire home/apt,62,0.85,Melbourne
120,Entire home/apt,2,0.03,Melbourne
90,Private room,132,1.73,Melbourne
86,Private room,74,0.98,Melbourne
100,Private room,13,0.28,Melbourne
100,Private room,10,0.2,Melbourne
125,Entire home/apt,22,0.3,Melbourne
93,Entire home/apt,73,1.01,Melbourne
180,Entire home/apt,139,2.09,Melbourne
700,Entire home/apt,24,0.32,Melbourne
100,Private room,12,0.18,Melbourne
120,Entire home/apt,12,0.16,Melbourne
170,Entire home/apt,43,0.57,Melbourne
100,Shared room,0,,Melbourne
80,Private room,10,0.13,Melbourne
80,Private room,1,0.02,Melbourne
68,Private room,17,0.29,Melbourne
68,Private room,17,0.23,Melbourne
62,Private room,30,0.5,Melbourne
73,Private room,89,1.19,Melbourne
174,Entire home/apt,8,0.15,Melbourne
96,Entire home/apt,20,0.27,Melbourne
289,Entire home/apt,4,0.07,Melbourne
69,Private room,1,0.03,Melbourne
400,Entire home/apt,4,0.06,Melbourne
119,Entire home/apt,180,2.88,Melbourne
300,Entire home/apt,3,0.04,Melbourne
84,Entire home/apt,40,0.54,Melbourne
150,Entire home/apt,75,1.05,Melbourne
100,Entire home/apt,55,0.79,Melbourne
96,Private room,229,3.2,Melbourne
138,Entire home/apt,45,0.79,Melbourne
199,Entire home/apt,83,1.13,Melbourne
50,Private room,20,0.29,Melbourne
46,Private room,82,2.77,Melbourne
83,Entire home/apt,57,0.79,Melbourne
550,Entire home/apt,1,0.14,Melbourne
150,Private room,0,,Melbourne
84,Private room,7,0.16,Melbourne
150,Entire home/apt,6,0.09,Melbourne
161,Entire home/apt,246,3.45,Melbourne
109,Private room,0,,Melbourne
186,Entire home/apt,204,2.79,Melbourne
120,Entire home/apt,212,3.04,Melbourne
150,Entire home/apt,34,0.47,Melbourne
75,Private room,11,0.15,Melbourne
226,Entire home/apt,38,0.53,Melbourne
100,Private room,0,,Melbourne
84,Private room,3,0.04,Melbourne
50,Private room,4,0.1,Melbourne
109,Entire home/apt,249,3.44,Melbourne
60,Private room,0,,Melbourne
84,Entire home/apt,1,0.01,Melbourne
168,Entire home/apt,126,1.77,Melbourne
140,Entire home/apt,164,2.27,Melbourne
109,Private room,0,,Melbourne
300,Entire home/apt,10,0.14,Melbourne
357,Entire home/apt,23,0.32,Melbourne
109,Entire home/apt,65,0.91,Melbourne
174,Entire home/apt,42,0.74,Melbourne
161,Entire home/apt,10,0.17,Melbourne
215,Entire home/apt,16,0.25,Melbourne
215,Entire home/apt,13,0.2,Melbourne
210,Entire home/apt,10,0.15,Melbourne
100,Entire home/apt,107,1.5,Melbourne
120,Entire home/apt,87,1.21,Melbourne
72,Entire home/apt,55,0.77,Melbourne
90,Private room,38,0.84,Melbourne
89,Entire home/apt,197,2.83,Melbourne
150,Entire home/apt,99,1.39,Melbourne
55,Private room,1,0.12,Melbourne
64,Private room,0,,Melbourne
130,Private room,127,1.8,Melbourne
75,Private room,2,0.04,Melbourne
75,Private room,73,1.03,Melbourne
179,Entire home/apt,54,0.76,Melbourne
119,Entire home/apt,135,1.91,Melbourne
129,Entire home/apt,47,0.69,Melbourne
140,Entire home/apt,13,0.21,Melbourne
62,Private room,21,0.37,Melbourne
54,Private room,10,0.15,Melbourne
65,Private room,1,0.03,Melbourne
84,Entire home/apt,160,2.26,Melbourne
100,Entire home/apt,42,0.63,Melbourne
75,Private room,24,0.34,Melbourne
251,Entire home/apt,46,0.76,Melbourne
320,Entire home/apt,86,1.27,Melbourne
