price,room_type,number_of_reviews,reviews_per_month,city
190,Entire home/apt,89,1.23,Sydney
105,Entire home/apt,158,2.14,Sydney
109,Private room,116,1.47,Sydney
150,Entire home/apt,1,0.03,Sydney
750,Entire home/apt,5,0.07,Sydney
251,Entire home/apt,20,0.28,Sydney
140,Entire home/apt,125,2.35,Sydney
195,Entire home/apt,0,,Sydney
177,Private room,32,0.42,Sydney
395,Entire home/apt,9,0.12,Sydney
138,Private room,202,2.52,Sydney
300,Entire home/apt,0,,Sydney
140,Private room,247,3.12,Sydney
260,Entire home/apt,2,0.03,Sydney
289,Entire home/apt,67,0.98,Sydney
84,Entire home/apt,15,0.19,Sydney
89,Entire home/apt,7,0.09,Sydney
96,Private room,11,0.14,Sydney
400,Entire home/apt,0,,Sydney
289,Entire home/apt,43,0.59,Sydney
955,Entire home/apt,2,0.06,Sydney
118,Entire home/apt,5,0.08,Sydney
375,Entire home/apt,2,0.03,Sydney
264,Entire home/apt,50,0.63,Sydney
251,Entire home/apt,5,0.1,Sydney
109,Entire home/apt,53,0.68,Sydney
350,Entire home/apt,68,0.86,Sydney
155,Entire home/apt,6,0.1,Sydney
174,Entire home/apt,56,0.93,Sydney
71,Private room,1,0.03,Sydney
270,Entire home/apt,269,3.67,Sydney
90,Entire home/apt,15,0.22,Sydney
90,Entire home/apt,100,1.27,Sydney
100,Entire home/apt,58,0.74,Sydney
429,Entire home/apt,5,0.14,Sydney
98,Entire home/apt,26,0.36,Sydney
251,Entire home/apt,2,0.03,Sydney
100,Entire home/apt,4,0.12,Sydney
150,Entire home/apt,42,0.72,Sydney
71,Private room,17,0.24,Sydney
109,Entire home/apt,131,1.68,Sydney
199,Entire home/apt,127,1.66,Sydney
109,Entire home/apt,13,0.2,Sydney
187,Entire home/apt,95,1.27,Sydney
251,Entire home/apt,33,0.43,Sydney
145,Entire home/apt,10,0.24,Sydney
215,Entire home/apt,0,,Sydney
180,Entire home/apt,0,,Sydney
239,Entire home/apt,9,0.14,Sydney
400,Entire home/apt,1,0.02,Sydney
320,Entire home/apt,4,0.08,Sydney
48,Private room,115,1.48,Sydney
90,Private room,120,1.62,Sydney
450,Entire home/apt,57,1.04,Sydney
65,Private room,48,0.62,Sydney
251,Entire home/apt,32,0.44,Sydney
199,Entire home/apt,36,0.47,Sydney
109,Entire home/apt,65,0.86,Sydney
55,Private room,19,0.26,Sydney
590,Entire home/apt,1,0.03,Sydney
300,Entire home/apt,2,0.18,Sydney
100,Private room,0,,Sydney
46,Private room,2,0.03,Sydney
395,Entire home/apt,5,0.15,Sydney
140,Entire home/apt,231,3.03,Sydney
54,Private room,80,2.36,Sydney
195,Entire home/apt,85,1.46,Sydney
275,Entire home/apt,1,0.03,Sydney
90,Entire home/apt,0,,Sydney
120,Entire home/apt,131,1.82,Sydney
400,Entire home/apt,4,0.12,Sydney
251,Entire home/apt,12,0.16,Sydney
120,Entire home/apt,9,0.12,Sydney
750,Entire home/apt,6,0.08,Sydney
449,Entire home/apt,4,0.06,Sydney
150,Private room,77,1.06,Sydney
75,Shared room,0,,Sydney
43,Private room,309,4.05,Sydney
78,Private room,163,2.26,Sydney
190,Entire home/apt,2,0.03,Sydney
180,Entire home/apt,0,,Sydney
390,Entire home/apt,9,0.14,Sydney
275,Entire home/apt,9,0.15,Sydney
1501,Entire home/apt,13,0.29,Sydney
60,Private room,3,0.04,Sydney
199,Entire home/apt,17,0.24,Sydney
75,Private room,21,2.31,Sydney
136,Entire home/apt,69,0.91,Sydney
329,Entire home/apt,5,0.07,Sydney
120,Private room,0,,Sydney
50,Private room,36,0.48,Sydney
69,Entire home/apt,15,0.31,Sydney
96,Private room,17,0.35,Sydney
350,Entire home/apt,3,0.05,Sydney
133,Entire home/apt,291,3.84,Sydney
43,Private room,5,0.11,Sydney
975,Entire home/apt,0,,Sydney
109,Entire home/apt,13,0.18,Sydney
170,Entire home/apt,1,0.01,Sydney
220,Entire home/apt,18,0.25,Sydney
120,Entire home/apt,70,1.11,Sydney
91,Entire home/apt,31,0.86,Sydney
96,Entire home/apt,188,2.49,Sydney
397,Entire home/apt,4,0.06,Sydney
190,Entire home/apt,67,1.06,Sydney
186,Entire home/apt,54,0.72,Sydney
65,Private room,3,0.04,Sydney
115,Entire home/apt,30,0.41,Sydney
198,Entire home/apt,0,,Sydney
53,Entire home/apt,0,,Sydney
93,Entire home/apt,2,0.03,Sydney
220,Entire home/apt,37,0.51,Sydney
129,Entire home/apt,17,0.29,Sydney
195,Entire home/apt,9,0.19,Sydney
100,Private room,3,0.11,Sydney
198,Entire home/apt,66,0.89,Sydney
136,Entire home/apt,391,5.27,Sydney
55,Private room,9,0.71,Sydney
75,Private room,95,1.29,Sydney
999,Entire home/apt,4,0.07,Sydney
120,Private room,2,0.03,Sydney
65,Private room,12,0.18,Sydney
55,Private room,9,0.18,Sydney
125,Private room,175,2.42,Sydney
320,Entire home/apt,4,0.06,Sydney
100,Private room,115,1.55,Sydney
399,Entire home/apt,13,0.19,Sydney
295,Entire home/apt,7,0.1,Sydney
195,Entire home/apt,74,1.01,Sydney
186,Entire home/apt,52,0.7,Sydney
1101,Entire home/apt,0,,Sydney
630,Entire home/apt,0,,Sydney
197,Entire home/apt,8,0.13,Sydney
65,Private room,14,0.21,Sydney
190,Entire home/apt,10,0.14,Sydney
100,Entire home/apt,31,0.44,Sydney
174,Entire home/apt,5,0.09,Sydney
900,Entire home/apt,0,,Sydney
320,Entire home/apt,4,0.06,Sydney
71,Entire home/apt,22,0.3,Sydney
450,Entire home/apt,2,0.08,Sydney
150,Entire home/apt,4,0.09,Sydney
300,Entire home/apt,338,4.69,Sydney
190,Entire home/apt,51,0.7,Sydney
235,Entire home/apt,35,0.48,Sydney
800,Entire home/apt,3,0.06,Sydney
651,Entire home/apt,4,0.06,Sydney
651,Entire home/apt,7,0.1,Sydney
285,Entire home/apt,37,0.52,Sydney
154,Private room,4,0.06,Sydney
148,Private room,48,0.65,Sydney
251,Entire home/apt,1,0.04,Sydney
73,Entire home/apt,23,0.32,Sydney
300,Entire home/apt,5,0.07,Sydney
100,Entire home/apt,9,0.15,Sydney
309,Entire home/apt,51,0.71,Sydney
1250,Entire home/apt,3,0.06,Sydney
210,Entire home/apt,30,0.57,Sydney
500,Entire home/apt,3,0.04,Sydney
65,Entire home/apt,46,0.73,Sydney
136,Entire home/apt,311,4.28,Sydney
360,Entire home/apt,7,0.1,Sydney
145,Entire home/apt,91,1.28,Sydney
251,Entire home/apt,5,0.07,Sydney
50,Private room,0,,Sydney
80,Private room,2,0.04,Sydney
100,Private room,12,0.16,Sydney
107,Private room,26,0.35,Sydney
500,Entire home/apt,2,0.04,Sydney
350,Entire home/apt,24,0.5,Sydney
190,Entire home/apt,134,1.85,Sydney
500,Entire home/apt,110,1.52,Sydney
145,Entire home/apt,8,0.11,Sydney
55,Private room,48,0.65,Sydney
300,Private room,27,0.37,Sydney
150,Entire home/apt,56,0.78,Sydney
140,Entire home/apt,189,2.72,Sydney
289,Entire home/apt,5,0.1,Sydney
350,Entire home/apt,17,0.24,Sydney
60,Private room,35,0.48,Sydney
145,Private room,3,0.05,Sydney
260,Entire home/apt,54,0.75,Sydney
60,Private room,94,1.31,Sydney
60,Private room,38,1.44,Sydney
55,Private room,38,0.53,Sydney
65,Private room,27,0.37,Sydney
90,Private room,1,0.04,Sydney
251,Entire home/apt,20,0.33,Sydney
60,Entire home/apt,6,0.19,Sydney
300,Entire home/apt,26,0.36,Sydney
80,Private room,27,0.37,Sydney
47,Private room,0,,Sydney
47,Private room,39,0.53,Sydney
1029,Entire home/apt,5,0.21,Sydney
84,Private room,96,1.37,Sydney
96,Private room,63,0.87,Sydney
190,Entire home/apt,0,,Sydney
120,Private room,4,0.08,Sydney
60,Private room,16,0.22,Sydney
199,Entire home/apt,5,0.08,Sydney
84,Private room,10,0.17,Sydney
850,Entire home/apt,0,,Sydney
75,Private room,32,0.44,Sydney
120,Entire home/apt,0,,Sydney
199,Entire home/apt,9,0.12,Sydney
40,Private room,2,0.03,Sydney
80,Private room,4,0.07,Sydney
220,Entire home/apt,0,,Sydney
210,Entire home/apt,6,0.08,Sydney
150,Entire home/apt,8,0.11,Sydney
